1411383,1425509,1407207,1411073,1420211,1422518,1419733,NaN,1418823,1415737,1411480
1411505,1425513,1405931,1403384,1420140,1423694,1421726,NaN,1414129,1415821,1411491
1411495,1413172,1405035,1403781,1421107,1423726,1419605,NaN,1414107,1415820,1426936
1411384,1408024,1410089,1403899,1419162,1403167,1417329,NaN,1414106,1415911,1413553
1425573,1409684,1409980,1405335,1421081,1422347,1419670,NaN,1414128,NaN,1426924
1413030,1408692,1410056,1401169,1421453,1421610,1419543,NaN,1414853,NaN,1413045
1426244,1409619,1404982,1402423,1419172,1403553,1419817,NaN,1414299,NaN,1427801
1415167,1408758,1404878,1401149,1419417,1423248,1419752,NaN,1414167,NaN,1413554
1426192,1408055,1404881,1405333,1419198,1401876,1422046,NaN,1415666,NaN,1412522
1426195,1409194,1404695,1402863,1420159,1411276,1420186,NaN,1414990,NaN,1413559
1426193,1409622,1404825,1402740,1419382,1403408,NaN,NaN,1414972,NaN,1426420
1426189,1408669,1410107,1402631,1419161,1422325,NaN,NaN,1414155,NaN,1411547
1413556,1409603,1404963,1402062,1419170,1423254,NaN,NaN,1415446,NaN,1413645
1413510,1408718,1410092,1401166,1419396,1422344,NaN,NaN,1418821,NaN,1426344
1426114,1408275,1405199,1404053,1420163,1422460,NaN,NaN,1415699,NaN,1413644
1413526,1408799,1405173,1400988,1421822,1423111,NaN,NaN,1414112,NaN,1426720
1426127,1407775,1405932,1410904,1421681,1423261,NaN,NaN,1414962,NaN,1427012
1426063,1409620,1410102,1401143,1421817,1423237,NaN,NaN,1417303,NaN,1427057
1411641,1408757,1410015,1401908,1421843,1423231,NaN,NaN,1414949,NaN,1427796
1426144,1408651,1410826,1402294,1421875,1423125,NaN,NaN,1415633,NaN,1427053
1426162,1409120,1419230,1402587,1421816,1423275,NaN,NaN,1414059,NaN,1413897
1414398,1409193,1400018,1411084,1421814,1423369,NaN,NaN,1414096,NaN,1412209
1414413,1412950,1407110,1403971,1421894,1422505,NaN,NaN,1414886,NaN,1413835
1414411,1409343,1419366,1405511,1421974,1422242,NaN,NaN,1415045,NaN,1413830
1411639,1408041,1407271,1400744,1420998,1423354,NaN,NaN,1415047,NaN,1426269
1411638,1407515,1419149,1400665,1421684,1423285,NaN,NaN,1415027,NaN,1426280
1414420,1411369,1419111,1402827,NaN,1401364,NaN,NaN,1414982,NaN,1411644
1426066,1405823,1419150,1401752,NaN,1421091,NaN,NaN,1413118,NaN,1411900
1413750,1408270,1405061,1402866,NaN,1421096,NaN,NaN,1414295,NaN,1416000
1414422,1408694,1410020,1402643,NaN,1421250,NaN,NaN,1414969,NaN,1426308
1414417,1408682,1419128,1403678,NaN,1405551,NaN,NaN,1415637,NaN,1426843
1414437,1409096,1404996,1401404,NaN,1423159,NaN,NaN,1415086,NaN,1426895
1413981,1405766,1407157,1410986,NaN,1423358,NaN,NaN,1417311,NaN,1412357
1414606,1408704,1405019,1403509,NaN,1423344,NaN,NaN,1413103,NaN,1413809
